Year,Race,Sex,AgeGroup,HispanicOrigin,Population
1954,Nonwhite,Female,65 to 69,NA,239689
1954,Nonwhite,Female,70 to 74,NA,146279
1954,Nonwhite,Female,75 to 79,NA,77527
1954,Nonwhite,Female,80 to 84,NA,50784
1954,Nonwhite,Female,85 years and over,NA,32587
1954,Nonwhite,Female,Under 5,NA,1230954
1954,Nonwhite,Male,10 to 14,NA,846731
1954,Nonwhite,Male,15 to 19,NA,673489
1954,Nonwhite,Male,20 to 24,NA,621427
1954,Nonwhite,Male,25 to 29,NA,615624
1954,Nonwhite,Male,30 to 34,NA,631200
1954,Nonwhite,Male,35 to 39,NA,608694
1954,Nonwhite,Male,40 to 44,NA,551996
1954,Nonwhite,Male,45 to 49,NA,460692
1954,Nonwhite,Male,5 to 9,NA,989638
1954,Nonwhite,Male,50 to 54,NA,424983
1954,Nonwhite,Male,55 to 59,NA,329826
1954,Nonwhite,Male,60 to 64,NA,240159
1954,Nonwhite,Male,65 to 69,NA,224953
1954,Nonwhite,Male,70 to 74,NA,136199
1954,Nonwhite,Male,75 to 79,NA,80996
1954,Nonwhite,Male,80 to 84,NA,41980
1954,Nonwhite,Male,85 years and over,NA,23528
1954,Nonwhite,Male,Under 5,NA,1228951
1954,White,Female,10 to 14,NA,5637253
1954,White,Female,15 to 19,NA,4712454
1954,White,Female,20 to 24,NA,4730710
1954,White,Female,25 to 29,NA,5369799
1954,White,Female,30 to 34,NA,5583361
1954,White,Female,35 to 39,NA,5316352
1954,White,Female,40 to 44,NA,4933566
1954,White,Female,45 to 49,NA,4544279
1954,White,Female,5 to 9,NA,6874493
1954,White,Female,50 to 54,NA,3905678
1954,White,Female,55 to 59,NA,3559191
1954,White,Female,60 to 64,NA,3176000
1954,White,Female,65 to 69,NA,2650024
1954,White,Female,70 to 74,NA,1959264
1954,White,Female,75 to 79,NA,1267877
1954,White,Female,80 to 84,NA,698648
1954,White,Female,85 years and over,NA,397604
1954,White,Female,Under 5,NA,7634892
1954,White,Male,10 to 14,NA,5868902
1954,White,Male,15 to 19,NA,4810720
1954,White,Male,20 to 24,NA,4785541
1954,White,Male,25 to 29,NA,5302638
1954,White,Male,30 to 34,NA,5432819
1954,White,Male,35 to 39,NA,5170665
1954,White,Male,40 to 44,NA,4847057
1954,White,Male,45 to 49,NA,4470544
1954,White,Male,5 to 9,NA,7175628
1954,White,Male,50 to 54,NA,3857015
1954,White,Male,55 to 59,NA,3465829
1954,White,Male,60 to 64,NA,3043730
1954,White,Male,65 to 69,NA,2450837
1954,White,Male,70 to 74,NA,1728413
1954,White,Male,75 to 79,NA,1059449
1954,White,Male,80 to 84,NA,524458
1954,White,Male,85 years and over,NA,284733
1954,White,Male,Under 5,NA,7962660
1955,Nonwhite,Female,10 to 14,NA,863527
1955,Nonwhite,Female,15 to 19,NA,711271
1955,Nonwhite,Female,20 to 24,NA,690590
1955,Nonwhite,Female,25 to 29,NA,691150
1955,Nonwhite,Female,30 to 34,NA,721918
1955,Nonwhite,Female,35 to 39,NA,651916
1955,Nonwhite,Female,40 to 44,NA,598874
1955,Nonwhite,Female,45 to 49,NA,484530
1955,Nonwhite,Female,5 to 9,NA,1049190
1955,Nonwhite,Female,50 to 54,NA,430813
1955,Nonwhite,Female,55 to 59,NA,337711
1955,Nonwhite,Female,60 to 64,NA,255203
1955,Nonwhite,Female,65 to 69,NA,245145
1955,Nonwhite,Female,70 to 74,NA,153080
1955,Nonwhite,Female,75 to 79,NA,82707
1955,Nonwhite,Female,80 to 84,NA,51716
1955,Nonwhite,Female,85 years and over,NA,34626
1955,Nonwhite,Female,Under 5,NA,1280893
1955,Nonwhite,Male,10 to 14,NA,872695
1955,Nonwhite,Male,15 to 19,NA,686065
1955,Nonwhite,Male,20 to 24,NA,621970
1955,Nonwhite,Male,25 to 29,NA,610747
1955,Nonwhite,Male,30 to 34,NA,639200
1955,Nonwhite,Male,35 to 39,NA,615365
1955,Nonwhite,Male,40 to 44,NA,558846
1955,Nonwhite,Male,45 to 49,NA,466877
1955,Nonwhite,Male,5 to 9,NA,1048507
1955,Nonwhite,Male,50 to 54,NA,431956
1955,Nonwhite,Male,55 to 59,NA,341922
1955,Nonwhite,Male,60 to 64,NA,247602
1955,Nonwhite,Male,65 to 69,NA,229734
1955,Nonwhite,Male,70 to 74,NA,141043
1955,Nonwhite,Male,75 to 79,NA,85260
1955,Nonwhite,Male,80 to 84,NA,43188
1955,Nonwhite,Male,85 years and over,NA,24926
1955,Nonwhite,Male,Under 5,NA,1277938
1955,White,Female,10 to 14,NA,5830303
1955,White,Female,15 to 19,NA,4770250
1955,White,Female,20 to 24,NA,4672187
1955,White,Female,25 to 29,NA,5285923
1955,White,Female,30 to 34,NA,5615290
1955,White,Female,35 to 39,NA,5371063
1955,White,Female,40 to 44,NA,4997091
1955,White,Female,45 to 49,NA,4646892
1955,White,Female,5 to 9,NA,7171000
1955,White,Female,50 to 54,NA,3959036
1955,White,Female,55 to 59,NA,3608947
1955,White,Female,60 to 64,NA,3248658
1955,White,Female,65 to 69,NA,2713208
1955,White,Female,70 to 74,NA,2042274
1955,White,Female,75 to 79,NA,1312757
1955,White,Female,80 to 84,NA,732493
1955,White,Female,85 years and over,NA,419008
1955,White,Female,Under 5,NA,7836324
1955,White,Male,10 to 14,NA,6071313
1955,White,Male,15 to 19,NA,4871584
1955,White,Male,20 to 24,NA,4728921
1955,White,Male,25 to 29,NA,5246747
1955,White,Male,30 to 34,NA,5471255
1955,White,Male,35 to 39,NA,5218299
1955,White,Male,40 to 44,NA,4900085
1955,White,Male,45 to 49,NA,4561546
1955,White,Male,5 to 9,NA,7480220
1955,White,Male,50 to 54,NA,3902765
1955,White,Male,55 to 59,NA,3499171
1955,White,Male,60 to 64,NA,3082428
1955,White,Male,65 to 69,NA,2492673
1955,White,Male,70 to 74,NA,1790168
1955,White,Male,75 to 79,NA,1089071
1955,White,Male,80 to 84,NA,545336
1955,White,Male,85 years and over,NA,297057
1955,White,Male,Under 5,NA,8171158
1956,Nonwhite,Female,10 to 14,NA,878110
1956,Nonwhite,Female,15 to 19,NA,729619
1956,Nonwhite,Female,20 to 24,NA,687650
1956,Nonwhite,Female,25 to 29,NA,689909
1956,Nonwhite,Female,30 to 34,NA,728462
1956,Nonwhite,Female,35 to 39,NA,663022
1956,Nonwhite,Female,40 to 44,NA,605466
1956,Nonwhite,Female,45 to 49,NA,498500
1956,Nonwhite,Female,5 to 9,NA,1128274
1956,Nonwhite,Female,50 to 54,NA,437941
1956,Nonwhite,Female,55 to 59,NA,352162
1956,Nonwhite,Female,60 to 64,NA,265993
1956,Nonwhite,Female,65 to 69,NA,250568
1956,Nonwhite,Female,70 to 74,NA,159243
1956,Nonwhite,Female,75 to 79,NA,88669
1956,Nonwhite,Female,80 to 84,NA,52244
1956,Nonwhite,Female,85 years and over,NA,36376
1956,Nonwhite,Female,Under 5,NA,1324497
1956,Nonwhite,Male,10 to 14,NA,885623
1956,Nonwhite,Male,15 to 19,NA,704863
1956,Nonwhite,Male,20 to 24,NA,623085
1956,Nonwhite,Male,25 to 29,NA,608429
1956,Nonwhite,Male,30 to 34,NA,642368
1956,Nonwhite,Male,35 to 39,NA,623019
1956,Nonwhite,Male,40 to 44,NA,562674
1956,Nonwhite,Male,45 to 49,NA,476908
1956,Nonwhite,Male,5 to 9,NA,1128387
1956,Nonwhite,Male,50 to 54,NA,436382
1956,Nonwhite,Male,55 to 59,NA,354289
1956,Nonwhite,Male,60 to 64,NA,255425
1956,Nonwhite,Male,65 to 69,NA,233485
1956,Nonwhite,Male,70 to 74,NA,146200
1956,Nonwhite,Male,75 to 79,NA,89454
1956,Nonwhite,Male,80 to 84,NA,44173
1956,Nonwhite,Male,85 years and over,NA,26232
1956,Nonwhite,Male,Under 5,NA,1322167
1956,White,Female,10 to 14,NA,5954701
1956,White,Female,15 to 19,NA,4898130
1956,White,Female,20 to 24,NA,4629050
1956,White,Female,25 to 29,NA,5217490
1956,White,Female,30 to 34,NA,5580380
1956,White,Female,35 to 39,NA,5468811
1956,White,Female,40 to 44,NA,5066107
1956,White,Female,45 to 49,NA,4721193
1956,White,Female,5 to 9,NA,7538232
1956,White,Female,50 to 54,NA,4037809
1956,White,Female,55 to 59,NA,3655668
1956,White,Female,60 to 64,NA,3318330
1956,White,Female,65 to 69,NA,2774152
1956,White,Female,70 to 74,NA,2117574
1956,White,Female,75 to 79,NA,1357238
1956,White,Female,80 to 84,NA,766337
1956,White,Female,85 years and over,NA,437506
1956,White,Female,Under 5,NA,8008113
1956,White,Male,10 to 14,NA,6199105
1956,White,Male,15 to 19,NA,5007850
1956,White,Male,20 to 24,NA,4675954
1956,White,Male,25 to 29,NA,5206863
1956,White,Male,30 to 34,NA,5447834
1956,White,Male,35 to 39,NA,5307829
1956,White,Male,40 to 44,NA,4960272
1956,White,Male,45 to 49,NA,4627224
1956,White,Male,5 to 9,NA,7857290
1956,White,Male,50 to 54,NA,3969962
1956,White,Male,55 to 59,NA,3531503
1956,White,Male,60 to 64,NA,3117828
1956,White,Male,65 to 69,NA,2526909
1956,White,Male,70 to 74,NA,1844774
1956,White,Male,75 to 79,NA,1115664
1956,White,Male,80 to 84,NA,566600
1956,White,Male,85 years and over,NA,304261
1956,White,Male,Under 5,NA,8348620
1957,Nonwhite,Female,10 to 14,NA,922653
1957,Nonwhite,Female,15 to 19,NA,753147
1957,Nonwhite,Female,20 to 24,NA,686157
1957,Nonwhite,Female,25 to 29,NA,691632
1957,Nonwhite,Female,30 to 34,NA,729924
1957,Nonwhite,Female,35 to 39,NA,677847
1957,Nonwhite,Female,40 to 44,NA,607755
1957,Nonwhite,Female,45 to 49,NA,516652
1957,Nonwhite,Female,5 to 9,NA,1169641
1957,Nonwhite,Female,50 to 54,NA,442743
1957,Nonwhite,Female,55 to 59,NA,367121
1957,Nonwhite,Female,60 to 64,NA,276480
1957,Nonwhite,Female,65 to 69,NA,255832
1957,Nonwhite,Female,70 to 74,NA,165089
1957,Nonwhite,Female,75 to 79,NA,95537
1957,Nonwhite,Female,80 to 84,NA,52520
1957,Nonwhite,Female,85 years and over,NA,37831
1957,Nonwhite,Female,Under 5,NA,1377966
1957,Nonwhite,Male,10 to 14,NA,928262
1957,Nonwhite,Male,15 to 19,NA,734275
1957,Nonwhite,Male,20 to 24,NA,621733
1957,Nonwhite,Male,25 to 29,NA,609360
1957,Nonwhite,Male,30 to 34,NA,640529
1957,Nonwhite,Male,35 to 39,NA,631275
1957,Nonwhite,Male,40 to 44,NA,563465
1957,Nonwhite,Male,45 to 49,NA,490583
1957,Nonwhite,Male,5 to 9,NA,1168229
1957,Nonwhite,Male,50 to 54,NA,437984
1957,Nonwhite,Male,55 to 59,NA,367384
1957,Nonwhite,Male,60 to 64,NA,263445
1957,Nonwhite,Male,65 to 69,NA,236426
1957,Nonwhite,Male,70 to 74,NA,151933
1957,Nonwhite,Male,75 to 79,NA,93568
1957,Nonwhite,Male,80 to 84,NA,45202
1957,Nonwhite,Male,85 years and over,NA,27476
1957,Nonwhite,Male,Under 5,NA,1377818
1957,White,Female,10 to 14,NA,6464213
1957,White,Female,15 to 19,NA,5089947
1957,White,Female,20 to 24,NA,4625496
1957,White,Female,25 to 29,NA,5119900
1957,White,Female,30 to 34,NA,5527007
1957,White,Female,35 to 39,NA,5565480
1957,White,Female,40 to 44,NA,5135973
1957,White,Female,45 to 49,NA,4792618
1957,White,Female,5 to 9,NA,7486316
1957,White,Female,50 to 54,NA,4143559
1957,White,Female,55 to 59,NA,3694224
1957,White,Female,60 to 64,NA,3358894
1957,White,Female,65 to 69,NA,2855684
1957,White,Female,70 to 74,NA,2184712
1957,White,Female,75 to 79,NA,1411221
1957,White,Female,80 to 84,NA,796922
1957,White,Female,85 years and over,NA,459573
1957,White,Female,Under 5,NA,8197438
1957,White,Male,10 to 14,NA,6730147
1957,White,Male,15 to 19,NA,5220780
1957,White,Male,20 to 24,NA,4669581
1957,White,Male,25 to 29,NA,5118928
1957,White,Male,30 to 34,NA,5406498
1957,White,Male,35 to 39,NA,5393929
1957,White,Male,40 to 44,NA,5020746
1957,White,Male,45 to 49,NA,4693323
1957,White,Male,5 to 9,NA,7800232
1957,White,Male,50 to 54,NA,4062061
1957,White,Male,55 to 59,NA,3558152
1957,White,Male,60 to 64,NA,3126222
1957,White,Male,65 to 69,NA,2576409
1957,White,Male,70 to 74,NA,1893580
1957,White,Male,75 to 79,NA,1150518
1957,White,Male,80 to 84,NA,585374
1957,White,Male,85 years and over,NA,312413
1957,White,Male,Under 5,NA,8540586
1958,Nonwhite,Female,10 to 14,NA,965130
1958,Nonwhite,Female,15 to 19,NA,778606
1958,Nonwhite,Female,20 to 24,NA,689594
1958,Nonwhite,Female,25 to 29,NA,694647
1958,Nonwhite,Female,30 to 34,NA,728943
1958,Nonwhite,Female,35 to 39,NA,692917
1958,Nonwhite,Female,40 to 44,NA,608840
1958,Nonwhite,Female,45 to 49,NA,536208
1958,Nonwhite,Female,5 to 9,NA,1214947
1958,Nonwhite,Female,50 to 54,NA,447229
1958,Nonwhite,Female,55 to 59,NA,382018
1958,Nonwhite,Female,60 to 64,NA,286462
1958,Nonwhite,Female,65 to 69,NA,260620
1958,Nonwhite,Female,70 to 74,NA,170643
1958,Nonwhite,Female,75 to 79,NA,102567
1958,Nonwhite,Female,80 to 84,NA,52730
1958,Nonwhite,Female,85 years and over,NA,38808
1958,Nonwhite,Female,Under 5,NA,1422503
1958,Nonwhite,Male,10 to 14,NA,969121
1958,Nonwhite,Male,15 to 19,NA,763388
1958,Nonwhite,Male,20 to 24,NA,627379
1958,Nonwhite,Male,25 to 29,NA,612631
1958,Nonwhite,Male,30 to 34,NA,636429
1958,Nonwhite,Male,35 to 39,NA,637795
1958,Nonwhite,Male,40 to 44,NA,562371
1958,Nonwhite,Male,45 to 49,NA,505589
1958,Nonwhite,Male,5 to 9,NA,1213767
1958,Nonwhite,Male,50 to 54,NA,438784
1958,Nonwhite,Male,55 to 59,NA,379975
1958,Nonwhite,Male,60 to 64,NA,271475
1958,Nonwhite,Male,65 to 69,NA,238300
1958,Nonwhite,Male,70 to 74,NA,157373
1958,Nonwhite,Male,75 to 79,NA,97179
1958,Nonwhite,Male,80 to 84,NA,45917
1958,Nonwhite,Male,85 years and over,NA,28506
1958,Nonwhite,Male,Under 5,NA,1422975
1958,White,Female,10 to 14,NA,6670899
1958,White,Female,15 to 19,NA,5406928
1958,White,Female,20 to 24,NA,4694539
1958,White,Female,25 to 29,NA,4984429
1958,White,Female,30 to 34,NA,5501845
1958,White,Female,35 to 39,NA,5603511
1958,White,Female,40 to 44,NA,5201418
1958,White,Female,45 to 49,NA,4861175
1958,White,Female,5 to 9,NA,7599770
1958,White,Female,50 to 54,NA,4241806
1958,White,Female,55 to 59,NA,3759992
1958,White,Female,60 to 64,NA,3375515
1958,White,Female,65 to 69,NA,2935875
1958,White,Female,70 to 74,NA,2252620
1958,White,Female,75 to 79,NA,1464589
1958,White,Female,80 to 84,NA,821435
1958,White,Female,85 years and over,NA,479650
1958,White,Female,Under 5,NA,8347391
1958,White,Male,10 to 14,NA,6940736
1958,White,Male,15 to 19,NA,5552301
1958,White,Male,20 to 24,NA,4744286
1958,White,Male,25 to 29,NA,4980458
1958,White,Male,30 to 34,NA,5398936
1958,White,Male,35 to 39,NA,5417672
1958,White,Male,40 to 44,NA,5073684
1958,White,Male,45 to 49,NA,4753827
1958,White,Male,5 to 9,NA,7912428
1958,White,Male,50 to 54,NA,4142617
1958,White,Male,55 to 59,NA,3613970
1958,White,Male,60 to 64,NA,3112239
1958,White,Male,65 to 69,NA,2620438
1958,White,Male,70 to 74,NA,1940656
1958,White,Male,75 to 79,NA,1181741
1958,White,Male,80 to 84,NA,598912
1958,White,Male,85 years and over,NA,317517
1958,White,Male,Under 5,NA,8693733
1959,Nonwhite,Female,10 to 14,NA,1021734
1959,Nonwhite,Female,15 to 19,NA,801466
1959,Nonwhite,Female,20 to 24,NA,695132
1959,Nonwhite,Female,25 to 29,NA,696957
1959,Nonwhite,Female,30 to 34,NA,729341
1959,Nonwhite,Female,35 to 39,NA,704193
1959,Nonwhite,Female,40 to 44,NA,612955
1959,Nonwhite,Female,45 to 49,NA,553899
1959,Nonwhite,Female,5 to 9,NA,1261347
1959,Nonwhite,Female,50 to 54,NA,455133
1959,Nonwhite,Female,55 to 59,NA,396258
1959,Nonwhite,Female,60 to 64,NA,296727
1959,Nonwhite,Female,65 to 69,NA,265918
1959,Nonwhite,Female,70 to 74,NA,176894
1959,Nonwhite,Female,75 to 79,NA,109523
1959,Nonwhite,Female,80 to 84,NA,53600
1959,Nonwhite,Female,85 years and over,NA,39503
1959,Nonwhite,Female,Under 5,NA,1462388
1959,Nonwhite,Male,10 to 14,NA,1023920
1959,Nonwhite,Male,15 to 19,NA,789113
1959,Nonwhite,Male,20 to 24,NA,636569
1959,Nonwhite,Male,25 to 29,NA,616336
1959,Nonwhite,Male,30 to 34,NA,633899
1959,Nonwhite,Male,35 to 39,NA,640376
1959,Nonwhite,Male,40 to 44,NA,561781
1959,Nonwhite,Male,45 to 49,NA,519601
1959,Nonwhite,Male,5 to 9,NA,1260167
1959,Nonwhite,Male,50 to 54,NA,442654
1959,Nonwhite,Male,55 to 59,NA,391491
1959,Nonwhite,Male,60 to 64,NA,280602
1959,Nonwhite,Male,65 to 69,NA,241538
1959,Nonwhite,Male,70 to 74,NA,163233
1959,Nonwhite,Male,75 to 79,NA,101302
1959,Nonwhite,Male,80 to 84,NA,46744
1959,Nonwhite,Male,85 years and over,NA,29861
1959,Nonwhite,Male,Under 5,NA,1462544
1959,White,Female,10 to 14,NA,6949611
1959,White,Female,15 to 19,NA,5634879
1959,White,Female,20 to 24,NA,4788258
1959,White,Female,25 to 29,NA,4866295
1959,White,Female,30 to 34,NA,5425895
1959,White,Female,35 to 39,NA,5660650
1959,White,Female,40 to 44,NA,5257947
1959,White,Female,45 to 49,NA,4918818
1959,White,Female,5 to 9,NA,7753809
1959,White,Female,50 to 54,NA,4340450
1959,White,Female,55 to 59,NA,3839488
1959,White,Female,60 to 64,NA,3401606
1959,White,Female,65 to 69,NA,3002194
1959,White,Female,70 to 74,NA,2325064
1959,White,Female,75 to 79,NA,1532097
1959,White,Female,80 to 84,NA,845681
1959,White,Female,85 years and over,NA,505256
1959,White,Female,Under 5,NA,8453228
1959,White,Male,10 to 14,NA,7224745
1959,White,Male,15 to 19,NA,5793483
1959,White,Male,20 to 24,NA,4849001
1959,White,Male,25 to 29,NA,4867374
1959,White,Male,30 to 34,NA,5332649
1959,White,Male,35 to 39,NA,5472931
1959,White,Male,40 to 44,NA,5111934
1959,White,Male,45 to 49,NA,4803720
1959,White,Male,5 to 9,NA,8068772
1959,White,Male,50 to 54,NA,4227643
1959,White,Male,55 to 59,NA,3682038
1959,White,Male,60 to 64,NA,3112940
1959,White,Male,65 to 69,NA,2653881
1959,White,Male,70 to 74,NA,1989655
1959,White,Male,75 to 79,NA,1226553
1959,White,Male,80 to 84,NA,612827
1959,White,Male,85 years and over,NA,326599
1959,White,Male,Under 5,NA,8796958
1960,Black,Female,10 to 14,NA,997515
1960,Black,Female,15 to 19,NA,760756
1960,Black,Female,20 to 24,NA,652794
1960,Black,Female,25 to 29,NA,633946
1960,Black,Female,30 to 34,NA,664249
1960,Black,Female,35 to 39,NA,652613
1960,Black,Female,40 to 44,NA,580111
1960,Black,Female,45 to 49,NA,534390
1960,Black,Female,5 to 9,NA,1213035
1960,Black,Female,50 to 54,NA,443055
1960,Black,Female,55 to 59,NA,377681
1960,Black,Female,60 to 64,NA,289046
1960,Black,Female,65 to 69,NA,261603
1960,Black,Female,70 to 74,NA,174662
1960,Black,Female,75 to 79,NA,109835
1960,Black,Female,80 to 84,NA,52554
1960,Black,Female,85 years and over,NA,38473
1960,Black,Female,Under 5,NA,1370624
1960,Black,Male,10 to 14,NA,995616
1960,Black,Male,15 to 19,NA,745384
1960,Black,Male,20 to 24,NA,590805
1960,Black,Male,25 to 29,NA,559432
1960,Black,Male,30 to 34,NA,573029
1960,Black,Male,35 to 39,NA,578385
1960,Black,Male,40 to 44,NA,515943
1960,Black,Male,45 to 49,NA,485673
1960,Black,Male,5 to 9,NA,1209162
1960,Black,Male,50 to 54,NA,409193
1960,Black,Male,55 to 59,NA,356364
1960,Black,Male,60 to 64,NA,263448
1960,Black,Male,65 to 69,NA,231720
1960,Black,Male,70 to 74,NA,153634
1960,Black,Male,75 to 79,NA,95418
1960,Black,Male,80 to 84,NA,43005
1960,Black,Male,85 years and over,NA,28169
1960,Black,Male,Under 5,NA,1364959
1960,Other,Female,10 to 14,NA,81174
1960,Other,Female,15 to 19,NA,59858
1960,Other,Female,20 to 24,NA,55949
1960,Other,Female,25 to 29,NA,66126
1960,Other,Female,30 to 34,NA,68841
1960,Other,Female,35 to 39,NA,57345
1960,Other,Female,40 to 44,NA,41033
1960,Other,Female,45 to 49,NA,31421
1960,Other,Female,5 to 9,NA,99182
1960,Other,Female,50 to 54,NA,24432
1960,Other,Female,55 to 59,NA,29225
1960,Other,Female,60 to 64,NA,17485
1960,Other,Female,65 to 69,NA,13594
1960,Other,Female,70 to 74,NA,8921
1960,Other,Female,75 to 79,NA,5340
1960,Other,Female,80 to 84,NA,2515
1960,Other,Female,85 years and over,NA,1889
1960,Other,Female,Under 5,NA,114689
1960,Other,Male,10 to 14,NA,84445
1960,Other,Male,15 to 19,NA,63933
1960,Other,Male,20 to 24,NA,58394
1960,Other,Male,25 to 29,NA,60679
1960,Other,Male,30 to 34,NA,61597
1960,Other,Male,35 to 39,NA,59945
1960,Other,Male,40 to 44,NA,47179
1960,Other,Male,45 to 49,NA,44987
1960,Other,Male,5 to 9,NA,102905
1960,Other,Male,50 to 54,NA,42495
1960,Other,Male,55 to 59,NA,43423
1960,Other,Male,60 to 64,NA,26275
1960,Other,Male,65 to 69,NA,17388
1960,Other,Male,70 to 74,NA,14828
1960,Other,Male,75 to 79,NA,9417
1960,Other,Male,80 to 84,NA,4156
1960,Other,Male,85 years and over,NA,2882
1960,Other,Male,Under 5,NA,118257
1960,White,Female,10 to 14,NA,7244343
1960,White,Female,15 to 19,NA,5819061
1960,White,Female,20 to 24,NA,4856793
1960,White,Female,25 to 29,NA,4812371
1960,White,Female,30 to 34,NA,5345586
1960,White,Female,35 to 39,NA,5692550
1960,White,Female,40 to 44,NA,5325293
1960,White,Female,45 to 49,NA,4968925
1960,White,Female,5 to 9,NA,7933261
1960,White,Female,50 to 54,NA,4433758
1960,White,Female,55 to 59,NA,3919072
1960,White,Female,60 to 64,NA,3433991
1960,White,Female,65 to 69,NA,3068566
1960,White,Female,70 to 74,NA,2393108
1960,White,Female,75 to 79,NA,1595410
1960,White,Female,80 to 84,NA,873002
1960,White,Female,85 years and over,NA,533440
1960,White,Female,Under 5,NA,8517156
1960,White,Male,10 to 14,NA,7522388
1960,White,Male,15 to 19,NA,5993185
1960,White,Male,20 to 24,NA,4919442
1960,White,Male,25 to 29,NA,4803073
1960,White,Male,30 to 34,NA,5269601
1960,White,Male,35 to 39,NA,5501634
1960,White,Male,40 to 44,NA,5169332
1960,White,Male,45 to 49,NA,4848612
1960,White,Male,5 to 9,NA,8252472
1960,White,Male,50 to 54,NA,4311181
1960,White,Male,55 to 59,NA,3745133
1960,White,Male,60 to 64,NA,3123868
1960,White,Male,65 to 69,NA,2687241
1960,White,Male,70 to 74,NA,2028208
1960,White,Male,75 to 79,NA,1265023
1960,White,Male,80 to 84,NA,625829
1960,White,Male,85 years and over,NA,335201
1960,White,Male,Under 5,NA,8855564
1961,Black,Female,10 to 14,NA,1068472
1961,Black,Female,15 to 19,NA,774408
1961,Black,Female,20 to 24,NA,674446
1961,Black,Female,25 to 29,NA,632484
1961,Black,Female,30 to 34,NA,663969
1961,Black,Female,35 to 39,NA,658567
1961,Black,Female,40 to 44,NA,589560
1961,Black,Female,45 to 49,NA,537696
1961,Black,Female,5 to 9,NA,1245605
1961,Black,Female,50 to 54,NA,457712
1961,Black,Female,55 to 59,NA,385487
1961,Black,Female,60 to 64,NA,295781
1961,Black,Female,65 to 69,NA,274066
1961,Black,Female,70 to 74,NA,183969
1961,Black,Female,75 to 79,NA,113525
1961,Black,Female,80 to 84,NA,58225
1961,Black,Female,85 years and over,NA,38093
1961,Black,Female,Under 5,NA,1385087
1961,Black,Male,10 to 14,NA,1066857
1961,Black,Male,15 to 19,NA,758918
1961,Black,Male,20 to 24,NA,612540
1961,Black,Male,25 to 29,NA,557444
1961,Black,Male,30 to 34,NA,574422
1961,Black,Male,35 to 39,NA,581332
1961,Black,Male,40 to 44,NA,521315
1961,Black,Male,45 to 49,NA,486122
1961,Black,Male,5 to 9,NA,1243213
1961,Black,Male,50 to 54,NA,419780
1961,Black,Male,55 to 59,NA,360341
1961,Black,Male,60 to 64,NA,268419
1961,Black,Male,65 to 69,NA,238483
1961,Black,Male,70 to 74,NA,159606
1961,Black,Male,75 to 79,NA,97058
1961,Black,Male,80 to 84,NA,47740
1961,Black,Male,85 years and over,NA,27116
1961,Black,Male,Under 5,NA,1379461
1961,Other,Female,10 to 14,NA,87249
1961,Other,Female,15 to 19,NA,63420
1961,Other,Female,20 to 24,NA,60336
1961,Other,Female,25 to 29,NA,66813
1961,Other,Female,30 to 34,NA,73007
1961,Other,Female,35 to 39,NA,61053
1961,Other,Female,40 to 44,NA,44290
1961,Other,Female,45 to 49,NA,33243
1961,Other,Female,5 to 9,NA,104432
1961,Other,Female,50 to 54,NA,25762
1961,Other,Female,55 to 59,NA,29626
1961,Other,Female,60 to 64,NA,19595
1961,Other,Female,65 to 69,NA,14576
1961,Other,Female,70 to 74,NA,9579
1961,Other,Female,75 to 79,NA,5909
1961,Other,Female,80 to 84,NA,2836
1961,Other,Female,85 years and over,NA,2058
1961,Other,Female,Under 5,NA,118836
1961,Other,Male,10 to 14,NA,90256
1961,Other,Male,15 to 19,NA,67015
1961,Other,Male,20 to 24,NA,62648
1961,Other,Male,25 to 29,NA,60358
1961,Other,Male,30 to 34,NA,65479
1961,Other,Male,35 to 39,NA,61751
1961,Other,Male,40 to 44,NA,49381
1961,Other,Male,45 to 49,NA,45092
1961,Other,Male,5 to 9,NA,107877
1961,Other,Male,50 to 54,NA,43015
1961,Other,Male,55 to 59,NA,44104
1961,Other,Male,60 to 64,NA,28916
1961,Other,Male,65 to 69,NA,18318
1961,Other,Male,70 to 74,NA,14621
1961,Other,Male,75 to 79,NA,10064
1961,Other,Male,80 to 84,NA,4514
1961,Other,Male,85 years and over,NA,3205
1961,Other,Male,Under 5,NA,121893
1961,White,Female,10 to 14,NA,7614969
1961,White,Female,15 to 19,NA,5957298
1961,White,Female,20 to 24,NA,5003820
1961,White,Female,25 to 29,NA,4777170
1961,White,Female,30 to 34,NA,5248236
1961,White,Female,35 to 39,NA,5680431
1961,White,Female,40 to 44,NA,5409531
1961,White,Female,45 to 49,NA,5014673
1961,White,Female,5 to 9,NA,8082775
1961,White,Female,50 to 54,NA,4535441
1961,White,Female,55 to 59,NA,4011619
1961,White,Female,60 to 64,NA,3454849
1961,White,Female,65 to 69,NA,3118655
1961,White,Female,70 to 74,NA,2474466
1961,White,Female,75 to 79,NA,1653809
1961,White,Female,80 to 84,NA,916420
1961,White,Female,85 years and over,NA,551373
1961,White,Female,Under 5,NA,8586255
1961,White,Male,10 to 14,NA,7907660
1961,White,Male,15 to 19,NA,6138090
1961,White,Male,20 to 24,NA,5068781
1961,White,Male,25 to 29,NA,4775471
1961,White,Male,30 to 34,NA,5196749
1961,White,Male,35 to 39,NA,5497350
1961,White,Male,40 to 44,NA,5237862
1961,White,Male,45 to 49,NA,4882339
1961,White,Male,5 to 9,NA,8412044
